song,artist,genre,id,popularity
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti","rap, pluggnb, atl hip hop, plugg, pop, canadian contemporary r&b, canadian pop, rage rap",1Es7AUAhQvapIcoh3qMKDL,92
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti","pluggnb, atl hip hop, plugg, slap house, rap, rage rap",42VsgItocQwOQC3XWZ8JNA,88
COMPETENCIA,Myke Towers,"reggaeton, urbano latino, trap latino",1hrRcfsancQb92OcifmMV1,63
Never Lose Me,Flo Milli,viral rap,6uTPdRrEDeH8Fyg5L5qmeU,72
bad 4 me!!,1upboy,,4caoAz5DiKgtTFeSPb0gl0,22
2xLL,"JC Reyes, YOVNGCHIMI, Slayter","nyc rap, urbano espanol, urbano latino, trap latino",2ZgZ0RIEVmxUwCZzLTYFoh,65
Dame La Verde,"Luar La L, Dei V","urbano latino, trap latino",6onnX1hYWcqP2dXgfvExNG,72
LA PRIMERA VEZ (feat. NTG),"Myke Towers, NTG","reggaeton, urbano latino, dembow dominicano, trap latino",1nlE7HodTsB0IHA3HkR6gd,63
+ Picky,"J Abdiel, Jonniel Rythmz","urbano latino, trap latino",08zL5yit4qSigkp1JnWwXR,44
\\\,c678924,"hexd, chill breakcore",2I7DwCb6ODR0Fz52Ghi44i,50
Fall Back (feat. Lil Tjay),"Lithe, Lil Tjay","rap, nyc rap, brooklyn drill, melodic rap",08e2POFDvniujTDRdk8yGL,59
BABY HELLO,"Rauw Alejandro, Bizarrap","urbano latino, trap argentino, trap latino, reggaeton, pop venezolano, argentine hip hop, puerto rican pop",2SOvWt6igzXViIjIiWNWEP,67
H E A V Y,Omar Courtz,"trap latino, urbano latino, trap boricua",3WZqTFGMU04pDM5JaGQBZz,61
G O D D E S S,Omar Courtz,"trap latino, urbano latino, trap boricua",7E5qtyFBvbyfNbHOTR42rs,73
La Noche,"J Balvin, Dei V","reggaeton, trap latino, urbano latino, reggaeton colombiano",29825KbVmzA6KSUMHKdcdb,58
YES B!TCH (feat. Rome Fortune),"DANNY AVILA, Sam WOLFE, HNTR, Rome Fortune",indie anthem-folk,02RO8IclcFVLOjHP8AJ033,59
Party Girl Anthem,Toosii,north carolina hip hop,2Iz82Uxhel7Zuy6BShUoC0,54
Dolida,"Chencho Corleone, Rauw Alejandro","urbano latino, trap latino, reggaeton, reggaeton flow, puerto rican pop",2oHE2OJ1IWta9PSsg21eY3,60
C3L3STIAL_CITY,bliss3three,chill breakcore,3A65Lka539xAGXoNNAN1Bs,45
Fire,KIDS SEE GHOSTS,rap,7oHkit3F3vimtsBbnZkU0G,56
DRIPPEO KBRON,"Omar Courtz, Dei V","trap latino, urbano latino, trap boricua",0PvkxArXWRKoQTT0ttLmHI,61
Rapido (with Cris Mj),"Dei V, Cris Mj","mambo chileno, urbano chileno, urbano latino, trap latino",1emJPywtseFLmLCcPY92dW,75
FRIKI,Gonzy,urbano latino,2TWX6XUqmPx44FDOmgtb0I,69
Perdida,Luar La L,"urbano latino, trap latino",2XOmIHSBEqe3UxQmSJFQdb,55
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose","trap latino, urbano latino, trap boricua",0Sr7ssScx54yxdM2ols7nW,88
Goteras,"Omar Montes, JC Reyes","flamenco urbano, urbano espanol",4sykJxUsqdXZRqRv1J9fEQ,71
I N T E R L U D I O,Omar Courtz,"trap latino, urbano latino, trap boricua",6BYL7xCy4FSbqVu29akzPO,60
2 K 1 6,"Omar Courtz, Bryant Myers","urbano latino, trap latino, reggaeton, reggaeton flow, trap boricua",6hXcH4KnoRgkFQDhvxo872,69
EMPLEADO,"Nicky Jam, Eladio Carrion","trap triste, urbano latino, trap latino, reggaeton, latin hip hop, trap boricua",0VB76TEvea9xPrOGSDQIgk,46
Le Clique,"JHAYCO, DJ Khaled, YOVNGCHIMI","hip hop, urbano latino, trap latino, reggaeton, miami hip hop, rap, pop rap",4SMYrlflAeUMgxbuwxb0o0,54
XO Tour Llif3,Lil Uzi Vert,"trap, hip hop, melodic rap, philly rap, rap, rage rap",7GX5flRQZVHRAGd6B4TmDO,80
Pensamos Rapido,"Panda Black, Cris Mj","mambo chileno, urbano chileno, urbano latino, trap latino",2JhcDJFVkMS9fxEuCAgIYb,55
AURA,Ogryzek,"krushfunk, polish phonk",2TNv2GxMpIO8AyPiD7TLxj,77
Whatever She Wants,Bryson Tiller,"rap, r&b, kentucky hip hop",57wp7VFnV8X0pSVnYArGeJ,78
wat u want 2,"mikeeysmind, prodbysky",sped up,6K7VXRmRi4xxwhudkuyxDQ,60
No Entiendo,"JHAYCO, Eladio Carrion, Omar Courtz","trap triste, urbano latino, trap latino, reggaeton, trap boricua",6VuCXhevMLsLMCrCPTVWWF,60
500lbs,Lil Tecca,"rap, pluggnb, melodic rap",6rjuKpPydT2SxN15TZpV7r,79
BYAK,"Alvaro Diaz, Rauw Alejandro","urbano latino, trap latino, reggaeton, puerto rican pop, trap boricua",12Ba9adVh6yrSRv59Y1zoW,57
Ransom,Lil Tecca,"rap, pluggnb, melodic rap",1lOe9qE0vR9zwWQAOk6CoO,85
GOLPE DE ESTADO,"Hades66, Blackinny, LA M RECORDS","urbano latino, trap latino",2DWxCsBqkUYG4sREsDSWl5,57
Baby My Phone,Yameii Online,"hyperpop, glitchcore",2SjvBmZYIbQTJ7rrPgdmV8,53
9x19/300BLK (with Pressure 9X19),"YOVNGCHIMI, Pressure 9X19","urbano latino, trap latino",3XbOduHVOK9fjsaPKmgzSV,63
Sata,"Caleb Calloway, Gonzy, Maldy","reggaeton, reggaeton flow, urbano latino",62Ivi1ONWg0DU125ZeOk5k,57
CACHÉ,Myke Towers,"reggaeton, urbano latino, trap latino",6Snhzg4NoTqNgRlkLhzzBW,54
TAMBIÉN,Myke Towers,"reggaeton, urbano latino, trap latino",39Pc4a04VgCtcc7m0XKi9M,79
Hands up!,"6arelyhuman, kets4eki, Pixel Hood","scenecore, krushclub",6nH7G7zImTcBpqRMIPeHLK,70
We Good,Lil Uzi Vert,"trap, hip hop, melodic rap, philly rap, rap, rage rap",0F60WLPs6Oz2slHomvLt9U,66
Solos,"Tony Dize, Plan B","reggaeton, urbano latino, trap latino",0WKd91LoIHCFIhDmgewjhy,53
CLIMA (with Foreign Teck),"Dei V, Foreign Teck","urbano latino, trap latino",0kX6vjW7YrhHxrpZS7jcxa,66